route	251.350000
savoir	250.000000
pied	248.180000
fils	247.640000
travers	247.640000
raison	247.500000
eut	247.090000
milieu	246.690000
années	246.550000
mer	246.550000
mis	245.680000
peux	245.410000
sait	245.000000
quelle	244.390000
petits	244.190000
dû	243.650000
famille	241.690000
pays	241.550000
comment	241.350000
idée	241.080000
ont	240.610000
autant	240.410000
tous	238.720000
lumière	238.650000
pieds	238.240000
premier	237.910000
savait	237.840000
aurais	236.350000
question	232.500000
mettre	230.200000
voulait	225.340000
étais	224.660000
doit	224.590000
fais	224.260000
général	223.990000
travail	223.990000
belle	223.650000
bruit	223.180000
voiture	221.150000
cinq	220.610000
force	218.380000
sens	217.500000
cas	217.360000
donner	216.550000
gros	216.010000
dos	213.990000
lieu	213.380000
fort	212.770000
en	212.090000
quoi	210.880000
veut	210.610000
dix	209.860000
l'un	208.920000
plaisir	208.780000
as	208.720000
demande	208.180000
vent	207.640000
soudain	207.300000
lorsque	207.090000
avez	206.820000
vient	206.220000
âge	205.270000
sang	205.200000
regarde	203.650000
plusieurs	203.580000
eût	203.510000
lui-même	202.300000
grands	201.550000
lèvres	201.280000
une	199.930000
fenêtre	199.390000
feu	199.390000
madame	198.720000
salle	197.640000
chemin	197.500000
bord	197.360000
possible	197.160000
oh	197.090000
sourire	196.550000
coups	196.150000
venir	196.010000
êtes	195.540000
rouge	195.270000
argent	194.320000
toute	194.260000
pièce	193.780000
trouver	192.700000
laisser	192.030000
état	192.030000
malgré	191.550000
ombre	190.610000
nouveau	190.470000
avons	190.000000
aussitôt	189.930000
cause	188.040000
partie	187.970000
chacun	187.840000
compte	187.230000
garçon	186.960000
vivre	186.820000
passe	185.610000
pourquoi	185.540000
mit	185.200000
mal	185.140000
noir	184.860000
vieille	184.120000
esprit	182.840000
laquelle	182.360000
aucun	180.950000
voyait	180.950000
fut	180.410000
vos	180.270000
partout	179.390000
ordre	179.260000
tenait	179.120000
pense	178.040000
nez	177.640000
avoir	177.300000
cours	176.760000
eh	176.620000
au-dessus	176.350000
doigts	175.810000
avaient	175.680000
filles	175.200000
verre	175.200000
aucune	174.730000
peau	174.260000
voulu	174.190000
effet	173.180000
chef	172.570000
mur	172.570000
chercher	172.360000
geste	172.030000
parmi	171.960000
épaules	171.760000
jambes	171.010000
sentait	170.470000
long	170.070000
bientôt	169.590000
autres	169.460000
d'abord	169.320000
ensuite	169.190000
parle	168.780000
tellement	168.510000
croire	167.910000
partir	167.770000
coin	167.090000
soit	167.030000
comment	164.930000
prit	164.800000
arrive	164.120000
trouve	163.780000
regarder	163.510000
entendre	162.500000
sera	161.820000
penser	161.620000
regardait	160.810000
odeur	159.860000
pourrait	159.320000
debout	158.850000
voit	158.780000
aujourd'hui	158.240000
plein	157.840000
parlait	157.090000
passé	157.090000
près	156.960000
