ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
compresseur	k§pREs9R	compresseur	ADJ	ADJ,NOM	m	s		k_§|p_R_E|s_9_R	c_om|p_r_e|ss_eu_r	0.88	0.24
compresseurs	k§pREs9R	compresseur	NOM	ADJ,NOM	m	p		k_§|p_R_E|s_9_R_#	c_om|p_r_e|ss_eu_r_s	0.07	0.57
compresseurs	k§pREs9R	compresseur	ADJ	ADJ,NOM	m	p		k_§|p_R_E|s_9_R_#	c_om|p_r_e|ss_eu_r_s	0.07	0.0
compressible	k§pREsibl	compressible	ADJ	ADJ	f	s		k_§|p_R_E|s_i_b_l_#	c_om|p_r_e|ss_i_b_l_e	0.0	0.01
compressibles	k§pREsibl	compressible	ADJ	ADJ		p		k_§|p_R_E|s_i_b_l_#	c_om|p_r_e|ss_i_b_l_es	0.14	0.0
compressif	k§pREsif	compressif	ADJ	ADJ	m	s		k_§|p_R_E|s_i_f	c_om|p_r_e|ss_i_f	0.0	0.07
compression	k§pREsj§	compression	NOM	NOM	f	s		k_§|p_R_E|s_j_§	c_om|p_r_e|ss_i_on	0.47	1.21
compressions	k§pREsj§	compression	NOM	VER,NOM	f	p		k_§|p_R_E|s_j_§	c_om|p_r_e|ss_i_ons	0.27	0.24
compressions	k§pREsj§	compresser	VER	VER,NOM			sub:pre:1p;	k_§|p_R_E|s_j_§	c_om|p_r_e|ss_i_ons	0.0	0.01
compressé	k§pREse	compresser	VER	VER,ADJ	m	s	par:pas;	k_§|p_R_E|s_e	c_om|p_r_e|ss_é	0.14	0.09
compressé	k§pREse	compressé	ADJ	VER,ADJ	m	s		k_§|p_R_E|s_e	c_om|p_r_e|ss_é	0.14	0.01
compressée	k§pREse	compresser	VER	VER,ADJ	f	s	par:pas;	k_§|p_R_E|s_e_#	c_om|p_r_e|ss_é_e	0.07	0.17
compressée	k§pREse	compressé	ADJ	VER,ADJ	f	s		k_§|p_R_E|s_e_#	c_om|p_r_e|ss_é_e	0.27	0.02
compressées	k§pREse	compressé	ADJ	ADJ	f	p		k_§|p_R_E|s_e_#	c_om|p_r_e|ss_é_es	0.2	0.03
compressés	k§pREse	compressé	ADJ	VER,ADJ	m	p		k_§|p_R_E|s_e_#	c_om|p_r_e|ss_é_s	0.07	0.04
compressés	k§pREse	compresser	VER	VER,ADJ	m	p	par:pas;	k_§|p_R_E|s_e_#	c_om|p_r_e|ss_é_s	0.14	0.0
comprima	k§pRima	comprimer	VER	VER			ind:pas:3s;	k_§|p_R_i|m_a	c_om|p_r_i|m_a	0.2	0.14
comprimait	k§pRimE	comprimer	VER	VER			ind:imp:3s;	k_§|p_R_i|m_E	c_om|p_r_i|m_ait	1.01	0.0
comprimant	k§pRim@	comprimant	ADJ	ADJ,VER	m	s		k_§|p_R_i|m_@	c_om|p_r_i|m_ant	0.07	0.0
comprimant	k§pRim@	comprimer	VER	ADJ,VER			par:pre;	k_§|p_R_i|m_@	c_om|p_r_i|m_ant	0.61	0.0
comprime	k§pRim	comprimer	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;	k_§|p_R_i_m_#	c_om|p_r_i_m_e	0.34	0.16
compriment	k§pRim	comprimer	VER	VER			ind:pre:3p;	k_§|p_R_i_m_#	c_om|p_r_i_m_ent	0.14	0.02
comprimer	k§pRime	comprimer	VER	VER			inf;	k_§|p_R_i|m_e	c_om|p_r_i|m_er	0.61	0.2
comprimez	k§pRime	comprimer	VER	VER			imp:pre:2p;	k_§|p_R_i|m_e	c_om|p_r_i|m_ez	0.0	0.08
comprimèrent	k§pRimER	comprimer	VER	VER			ind:pas:3p;	k_§|p_R_i|m_E_R_#	c_om|p_r_i|m_è_r_ent	0.07	0.0
comprimé	k§pRime	comprimé	NOM	VER,ADJ,NOM	m	s		k_§|p_R_i|m_e	c_om|p_r_i|m_é	1.35	1.62
comprimé	k§pRime	comprimé	ADJ	VER,ADJ,NOM	m	s		k_§|p_R_i|m_e	c_om|p_r_i|m_é	1.15	0.5
comprimé	k§pRime	comprimer	VER	VER,ADJ,NOM	m	s	par:pas;	k_§|p_R_i|m_e	c_om|p_r_i|m_é	0.47	0.32
comprimée	k§pRime	comprimé	ADJ	VER,ADJ	f	s		k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_e	0.27	0.03
comprimée	k§pRime	comprimer	VER	VER,ADJ	f	s	par:pas;	k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_e	0.2	0.01
comprimées	k§pRime	comprimer	VER	VER,ADJ	f	p	par:pas;	k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_es	0.14	0.01
comprimées	k§pRime	comprimé	ADJ	VER,ADJ	f	p		k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_es	0.07	0.01
comprimés	k§pRime	comprimé	NOM	VER,ADJ,NOM	m	p		k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_s	2.64	2.65
comprimés	k§pRime	comprimer	VER	VER,ADJ,NOM	m	p	par:pas;	k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_s	0.2	0.22
comprimés	k§pRime	comprimé	ADJ	VER,ADJ,NOM	m	p		k_§|p_R_i|m_e_#	c_om|p_r_i|m_é_s	0.34	0.01
comprirent	k§pRiR	comprendre	VER	VER			ind:pas:3p;	k_§|p_R_i_R_#	c_om|p_r_i_r_ent	1.69	0.14
compris	k§pRi	comprendre	VER	VER,ADJ	m	s	ind:pas:1s;ind:pas:2s;par:pas;par:pas;par:pas;	k_§|p_R_i	c_om|p_r_is	136.62	198.16
compris	k§pRi	compris	ADJ	VER,ADJ	m			k_§|p_R_i	c_om|p_r_is	9.46	82.12
comprise	k§pRiz	comprendre	VER	VER,ADJ	f	s	par:pas;	k_§|p_R_i_z_#	c_om|p_r_i_s_e	2.91	3.32
comprise	k§pRiz	compris	ADJ	VER,ADJ	f	s		k_§|p_R_i_z_#	c_om|p_r_i_s_e	1.22	0.35
comprises	k§pRiz	comprendre	VER	VER,ADJ	f	p	par:pas;	k_§|p_R_i_z_#	c_om|p_r_i_s_es	0.41	0.66
