ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
a	a	avoir	AUX	NOM,AUX,VER			ind:pre:3s;	a	a	2926.69	6350.91
a	a	avoir	VER	NOM,AUX,VER			ind:pre:3s;	a	a	1669.39	5498.34
a	a	a	NOM	NOM,AUX,VER	m			a	a	58.65	81.36
abaca	abaka	abaca	NOM	NOM	m	s		a|b_a|k_a	a|b_a|c_a	0.0	0.01
abaissa	abEsa	abaisser	VER	VER			ind:pas:3s;	a|b_E|s_a	a|b_ai|ss_a	2.64	0.0
abaissai	abEse	abaisser	VER	VER			ind:pas:1s;	a|b_E|s_e	a|b_ai|ss_ai	0.07	0.1
abaissaient	abEsE	abaisser	VER	VER			ind:imp:3p;	a|b_E|s_E	a|b_ai|ss_aient	0.41	0.0
abaissait	abEsE	abaisser	VER	VER			ind:imp:3s;	a|b_E|s_E	a|b_ai|ss_ait	2.5	0.02
abaissant	abEs@	abaissant	ADJ	ADJ,VER	m	s		a|b_E|s_@	a|b_ai|ss_ant	0.27	0.03
abaissant	abEs@	abaisser	VER	ADJ,VER			par:pre;	a|b_E|s_@	a|b_ai|ss_ant	2.5	0.01
abaissante	abEs@t	abaissant	ADJ	ADJ	f	s		a|b_E|s_@_t_#	a|b_ai|ss_an_t_e	0.0	0.01
abaisse	abEs	abaisser	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;	a|b_E_s_#	a|b_ai_ss_e	3.45	1.28
abaisse	abEs	abaisse	NOM	NOM,VER	f	s		a|b_E_s_#	a|b_ai_ss_e	0.0	0.02
abaissement	abEs°m@	abaissement	NOM	NOM	m	s		a|b_E|s_°|m_@	a|b_ai|ss_e|m_ent	2.16	0.31
abaissent	abEs	abaisser	VER	VER			ind:pre:3p;	a|b_E_s_#	a|b_ai_ss_ent	0.95	0.05
abaisser	abEse	abaisser	VER	VER			inf;	a|b_E|s_e	a|b_ai|ss_er	2.91	1.09
abaissera	abEs°Ra	abaisser	VER	VER			ind:fut:3s;	a|b_E|s_°|R_a	a|b_ai|ss_e|r_a	0.07	0.19
abaisserai	abEs°Re	abaisser	VER	VER			ind:fut:1s;	a|b_E|s_°|R_e	a|b_ai|ss_e|r_ai	0.07	0.1
abaisseraient	abEs°RE	abaisser	VER	VER			cnd:pre:3p;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_aient	0.07	0.01
abaisserais	abEs°RE	abaisser	VER	VER			cnd:pre:1s;cnd:pre:2s;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_ais	0.0	0.13
abaisserait	abEs°RE	abaisser	VER	VER			cnd:pre:3s;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_ait	0.2	0.02
abaisses	abEs	abaisser	VER	VER			ind:pre:2s;	a|b_E_s_#	a|b_ai_ss_es	0.07	0.16
abaissez	abEse	abaisser	VER	VER			imp:pre:2p;ind:pre:2p;	a|b_E|s_e	a|b_ai|ss_ez	0.07	0.53
abaissons	abEs§	abaisser	VER	VER			imp:pre:1p;	a|b_E|s_§	a|b_ai|ss_ons	0.0	0.02
abaissèrent	abEsER	abaisser	VER	VER			ind:pas:3p;	a|b_E|s_E_R_#	a|b_ai|ss_è_r_ent	0.41	0.0
abaissé	abEse	abaisser	VER	VER,ADJ	m	s	par:pas;	a|b_E|s_e	a|b_ai|ss_é	1.35	0.74
abaissé	abEse	abaissé	ADJ	VER,ADJ	m	s		a|b_E|s_e	a|b_ai|ss_é	0.2	0.03
abaissée	abEse	abaisser	VER	VER,ADJ	f	s	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_e	0.27	0.17
abaissée	abEse	abaissé	ADJ	VER,ADJ	f	s		a|b_E|s_e_#	a|b_ai|ss_é_e	0.2	0.0
abaissées	abEse	abaissé	ADJ	VER,ADJ	f	p		a|b_E|s_e_#	a|b_ai|ss_é_es	0.27	0.02
abaissées	abEse	abaisser	VER	VER,ADJ	f	p	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_es	0.0	0.01
abaissés	abEse	abaisser	VER	VER,ADJ	m	p	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_s	0.07	0.3
abaissés	abEse	abaissé	ADJ	VER,ADJ	m	p		a|b_E|s_e_#	a|b_ai|ss_é_s	0.07	0.01
abalone	abalOn	abalone	NOM	NOM	m	s		a|b_a|l_O_n_#	a|b_a|l_o_n_e	0.0	0.01
abalones	abalOn	abalone	NOM	NOM	m	p		a|b_a|l_O_n_#	a|b_a|l_o_n_es	0.07	0.0
abandon	ab@d§	abandon	NOM	NOM	m	s		a|b_@|d_§	a|b_an|d_on	25.2	4.77
abandonna	ab@dona	abandonner	VER	VER			ind:pas:3s;	a|b_@|d_o|n_a	a|b_an|d_o|nn_a	8.92	0.59
abandonnai	ab@done	abandonner	VER	VER			ind:pas:1s;	a|b_@|d_o|n_e	a|b_an|d_o|nn_ai	2.16	0.27
abandonnaient	ab@donE	abandonner	VER	VER			ind:imp:3p;	a|b_@|d_o|n_E	a|b_an|d_o|nn_aient	1.55	0.07
abandonnais	ab@donE	abandonner	VER	VER			ind:imp:1s;ind:imp:2s;	a|b_@|d_o|n_E	a|b_an|d_o|nn_ais	1.49	0.35
abandonnait	ab@donE	abandonner	VER	VER			ind:imp:3s;	a|b_@|d_o|n_E	a|b_an|d_o|nn_ait	9.46	1.04
abandonnant	ab@don@	abandonner	VER	VER			par:pre;	a|b_@|d_o|n_@	a|b_an|d_o|nn_ant	9.93	1.15
abandonnas	ab@dona	abandonner	VER	VER			ind:pas:2s;	a|b_@|d_o|n_a	a|b_an|d_o|nn_as	0.14	0.0
abandonne	ab@dOn	abandonner	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	a|b_@|d_O_n_#	a|b_an|d_o_nn_e	15.54	24.04
abandonnent	ab@dOn	abandonner	VER	VER			ind:pre:3p;sub:pre:3p;	a|b_@|d_O_n_#	a|b_an|d_o_nn_ent	2.64	2.44
abandonner	ab@done	abandonner	VER	VER			inf;	a|b_@|d_o|n_e	a|b_an|d_o|nn_er	27.7	28.37
abandonnera	ab@dOn°Ra	abandonner	VER	VER			ind:fut:3s;	a|b_@|d_O|n_°|R_a	a|b_an|d_o|nn_e|r_a	0.81	1.52
abandonnerai	ab@dOn°Re	abandonner	VER	VER			ind:fut:1s;	a|b_@|d_O|n_°|R_e	a|b_an|d_o|nn_e|r_ai	0.41	2.39
abandonneraient	ab@dOn°RE	abandonner	VER	VER			cnd:pre:3p;	a|b_@|d_O|n_°|R_E	a|b_an|d_o|nn_e|r_aient	0.14	0.02
abandonnerais	ab@dOn°RE	abandonner	VER	VER			cnd:pre:1s;cnd:pre:2s;	a|b_@|d_O|n_°|R_E	a|b_an|d_o|nn_e|r_ais	0.27	0.93
abandonnerait	ab@dOn°RE	abandonner	VER	VER			cnd:pre:3s;	a|b_@|d_O|n_°|R_E	a|b_an|d_o|nn_e|r_ait	0.88	0.23
abandonneras	ab@dOn°Ra	abandonner	VER	VER			ind:fut:2s;	a|b_@|d_O|n_°|R_a	a|b_an|d_o|nn_e|r_as	0.2	0.3
abandonnerez	ab@dOn°Re	abandonner	VER	VER			ind:fut:2p;	a|b_@|d_O|n_°|R_e	a|b_an|d_o|nn_e|r_ez	0.0	0.14
abandonneriez	ab@dOn°Rje	abandonner	VER	VER			cnd:pre:2p;	a|b_@|d_O|n_°|R_j_e	a|b_an|d_o|nn_e|r_i_ez	0.2	0.23
abandonnerions	ab@dOn°Rj§	abandonner	VER	VER			cnd:pre:1p;	a|b_@|d_O|n_°|R_j_§	a|b_an|d_o|nn_e|r_i_ons	0.0	0.01
abandonnerons	ab@dOn°R§	abandonner	VER	VER			ind:fut:1p;	a|b_@|d_O|n_°|R_§	a|b_an|d_o|nn_e|r_ons	0.14	0.39
abandonneront	ab@dOn°R§	abandonner	VER	VER			ind:fut:3p;	a|b_@|d_O|n_°|R_§	a|b_an|d_o|nn_e|r_ont	0.27	0.41
abandonnes	ab@dOn	abandonner	VER	VER			ind:pre:2s;sub:pre:2s;	a|b_@|d_O_n_#	a|b_an|d_o_nn_es	0.14	4.13
abandonneurs	ab@don9R	abandonneur	NOM	NOM	m	p		a|b_@|d_o|n_9_R_#	a|b_an|d_o|nn_eu_r_s	0.07	0.0
abandonnez	ab@done	abandonner	VER	VER			imp:pre:2p;ind:pre:2p;	a|b_@|d_o|n_e	a|b_an|d_o|nn_ez	0.88	5.72
abandonniez	ab@donje	abandonner	VER	VER			ind:imp:2p;	a|b_@|d_o|n_j_e	a|b_an|d_o|nn_i_ez	0.14	0.14
abandonnions	ab@donj§	abandonner	VER	VER			ind:imp:1p;	a|b_@|d_o|n_j_§	a|b_an|d_o|nn_i_ons	0.54	0.06
abandonnique	ab@donik	abandonnique	ADJ	ADJ		s		a|b_@|d_o|n_i_k_#	a|b_an|d_o|nn_i_qu_e	0.07	0.0
abandonnons	ab@don§	abandonner	VER	VER			imp:pre:1p;ind:pre:1p;	a|b_@|d_o|n_§	a|b_an|d_o|nn_ons	0.68	1.06
abandonnâmes	ab@donam	abandonner	VER	VER			ind:pas:1p;	a|b_@|d_o|n_a_m_#	a|b_an|d_o|nn_â_m_es	0.27	0.0
abandonnât	ab@dona	abandonner	VER	VER			sub:imp:3s;	a|b_@|d_o|n_a	a|b_an|d_o|nn_ât	0.34	0.0
abandonnèrent	ab@donER	abandonner	VER	VER			ind:pas:3p;	a|b_@|d_o|n_E_R_#	a|b_an|d_o|nn_è_r_ent	1.42	0.16
abandonné	ab@done	abandonner	VER	VER,ADJ	m	s	par:pas;	a|b_@|d_o|n_e	a|b_an|d_o|nn_é	23.92	22.56
abandonné	ab@done	abandonné	ADJ	VER,ADJ	m	s		a|b_@|d_o|n_e	a|b_an|d_o|nn_é	8.45	3.84
abandonnée	ab@done	abandonner	VER	VER,ADJ	f	s	par:pas;	a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_e	9.66	7.34
abandonnée	ab@done	abandonné	ADJ	VER,ADJ	f	s		a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_e	8.24	2.94
abandonnées	ab@done	abandonner	VER	VER,ADJ	f	p	par:pas;	a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_es	2.7	1.27
abandonnées	ab@done	abandonné	ADJ	VER,ADJ	f	p		a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_es	2.97	0.44
abandonnés	ab@done	abandonner	VER	VER,ADJ	m	p	par:pas;	a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_s	4.93	3.55
abandonnés	ab@done	abandonné	ADJ	VER,ADJ	m	p		a|b_@|d_o|n_e_#	a|b_an|d_o|nn_é_s	4.73	1.05
abandons	ab@d§	abandon	NOM	NOM	m	p		a|b_@|d_§_#	a|b_an|d_on_s	2.16	0.07
abaque	abak	abaque	NOM	NOM	m	s		a|b_a_k_#	a|b_a_qu_e	0.07	0.0
abasourdi	abazuRdi	abasourdir	VER	ADJ,VER	m	s	par:pas;	a|b_a|z_u_R|d_i	a|b_a|s_ou_r|d_i	2.09	0.35
abasourdi	abazuRdi	abasourdi	ADJ	ADJ,VER	m	s		a|b_a|z_u_R|d_i	a|b_a|s_ou_r|d_i	2.03	0.24
abasourdie	abazuRdi	abasourdi	ADJ	ADJ,VER	f	s		a|b_a|z_u_R|d_i_#	a|b_a|s_ou_r|d_i_e	0.54	0.14
abasourdie	abazuRdi	abasourdir	VER	ADJ,VER	f	s	par:pas;	a|b_a|z_u_R|d_i_#	a|b_a|s_ou_r|d_i_e	0.54	0.12
abasourdir	abazuRdiR	abasourdir	VER	VER			inf;	a|b_a|z_u_R|d_i_R	a|b_a|s_ou_r|d_i_r	0.14	0.01
abasourdis	abazuRdi	abasourdir	VER	ADJ,VER	m	p	par:pas;	a|b_a|z_u_R|d_i_#	a|b_a|s_ou_r|d_i_s	0.2	0.07
abasourdis	abazuRdi	abasourdi	ADJ	ADJ,VER	m	p		a|b_a|z_u_R|d_i_#	a|b_a|s_ou_r|d_i_s	0.07	0.02
abasourdissant	abazuRdis@	abasourdissant	ADJ	ADJ	m	s		a|b_a|z_u_R|d_i|s_@	a|b_a|s_ou_r|d_i|ss_ant	0.0	0.01
abasourdissants	abazuRdis@	abasourdissant	ADJ	ADJ	m	p		a|b_a|z_u_R|d_i|s_@_#	a|b_a|s_ou_r|d_i|ss_an_ts	0.07	0.0
abat	aba	abattre	VER	NOM,VER			ind:pre:3s;	a|b_a_#	a|b_a_t	4.93	2.15
abat	aba	abat	NOM	NOM,VER	m	s		a|b_a_#	a|b_a_t	0.2	0.13
abatage	abataZ	abatage	NOM	NOM	m	s		a|b_a|t_a_Z	a|b_a|t_a_ge	0.07	0.0
abatis	abati	abatis	NOM	NOM	m			a|b_a|t_i_#	a|b_a|t_i_s	0.88	0.0
abats	aba	abattre	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	a|b_a_#	a|b_a_ts	0.54	1.79
abats	aba	abat	NOM	NOM,VER	m	p		a|b_a_#	a|b_a_ts	0.81	0.52
abattage	abataZ	abattage	NOM	NOM	m	s		a|b_a|t_a_Z	a|b_a|tt_a_ge	1.15	0.63
abattages	abataZ	abattage	NOM	NOM	m	p		a|b_a|t_a_Z_#	a|b_a|tt_a_g_es	0.14	0.02
abattaient	abatE	abattre	VER	VER			ind:imp:3p;	a|b_a|t_E	a|b_a|tt_aient	2.36	0.06
abattais	abatE	abattre	VER	VER			ind:imp:1s;	a|b_a|t_E	a|b_a|tt_ais	0.27	0.02
abattait	abatE	abattre	VER	VER			ind:imp:3s;	a|b_a|t_E	a|b_a|tt_ait	3.45	0.42
abattant	abat@	abattre	VER	NOM,VER			par:pre;	a|b_a|t_@	a|b_a|tt_ant	1.96	0.31
abattant	abat@	abattant	NOM	NOM,VER	m	s		a|b_a|t_@	a|b_a|tt_ant	0.54	0.05
abattants	abat@	abattant	NOM	NOM	m	p		a|b_a|t_@_#	a|b_a|tt_an_ts	0.07	0.01
abatte	abat	abattre	VER	VER			sub:pre:1s;sub:pre:3s;	a|b_a_t_#	a|b_a_tt_e	0.61	0.58
abattement	abat°m@	abattement	NOM	NOM	m	s		a|b_a|t_°|m_@	a|b_a|tt_e|m_ent	2.36	0.17
abattements	abat°m@	abattement	NOM	NOM	m	p		a|b_a|t_°|m_@_#	a|b_a|tt_e|m_en_ts	0.27	0.01
abattent	abat	abattre	VER	VER			ind:pre:3p;	a|b_a_t_#	a|b_a_tt_ent	2.03	0.69
abattes	abat	abattre	VER	VER			sub:pre:2s;	a|b_a_t_#	a|b_a_tt_es	0.0	0.11
abatteur	abat9R	abatteur	NOM	NOM	m	s		a|b_a|t_9_R	a|b_a|tt_eu_r	0.2	0.14
abatteurs	abat9R	abatteur	NOM	NOM	m	p		a|b_a|t_9_R_#	a|b_a|tt_eu_r_s	0.07	0.0
abattez	abate	abattre	VER	VER			imp:pre:2p;ind:pre:2p;	a|b_a|t_e	a|b_a|tt_ez	0.0	2.21
abattiez	abatje	abattre	VER	VER			ind:imp:2p;	a|b_a|t_j_e	a|b_a|tt_i_ez	0.0	0.06
abattions	abatj§	abattre	VER	VER			ind:imp:1p;	a|b_a|t_j_§	a|b_a|tt_i_ons	0.07	0.0
abattirent	abatiR	abattre	VER	VER			ind:pas:3p;	a|b_a|t_i_R_#	a|b_a|tt_i_r_ent	0.95	0.03
abattis	abati	abattis	NOM	NOM,VER	m			a|b_a|t_i_#	a|b_a|tt_i_s	1.08	0.14
abattis	abati	abattre	VER	NOM,VER			ind:pas:1s;	a|b_a|t_i_#	a|b_a|tt_i_s	0.27	0.0
abattit	abati	abattre	VER	VER			ind:pas:3s;	a|b_a|t_i	a|b_a|tt_it	5.07	0.34
abattoir	abatwaR	abattoir	NOM	NOM	m	s		a|b_a|t_wa_R	a|b_a|tt_oi_r	2.36	2.67
abattoirs	abatwaR	abattoir	NOM	NOM	m	p		a|b_a|t_wa_R_#	a|b_a|tt_oi_r_s	2.3	0.48
abattons	abat§	abattre	VER	VER			imp:pre:1p;ind:pre:1p;	a|b_a|t_§	a|b_a|tt_ons	0.0	0.33
abattra	abatRa	abattre	VER	VER			ind:fut:3s;	a|b_a|t_R_a	a|b_a|tt_r_a	0.61	1.51
abattrai	abatRe	abattre	VER	VER			ind:fut:1s;	a|b_a|t_R_e	a|b_a|tt_r_ai	0.0	0.39
abattraient	abatRE	abattre	VER	VER			cnd:pre:3p;	a|b_a|t_R_E	a|b_a|tt_r_aient	0.07	0.03
abattrais	abatRE	abattre	VER	VER			cnd:pre:1s;cnd:pre:2s;	a|b_a|t_R_E	a|b_a|tt_r_ais	0.07	0.1
abattrait	abatRE	abattre	VER	VER			cnd:pre:3s;	a|b_a|t_R_E	a|b_a|tt_r_ait	0.41	0.63
abattras	abatRa	abattre	VER	VER			ind:fut:2s;	a|b_a|t_R_a	a|b_a|tt_r_as	0.0	0.03
abattre	abatR	abattre	VER	VER			inf;	a|b_a_t_R_#	a|b_a_tt_r_e	14.32	14.43
abattrez	abatRe	abattre	VER	VER			ind:fut:2p;	a|b_a|t_R_e	a|b_a|tt_r_ez	0.0	0.26
abattriez	abatRie	abattre	VER	VER			cnd:pre:2p;	a|b_a|t_R_i|e	a|b_a|tt_r_i|ez	0.0	0.02
abattrons	abatR§	abattre	VER	VER			ind:fut:1p;	a|b_a|t_R_§	a|b_a|tt_r_ons	0.0	0.11
abattront	abatR§	abattre	VER	VER			ind:fut:3p;	a|b_a|t_R_§	a|b_a|tt_r_ont	0.07	0.34
abattu	abaty	abattre	VER	VER,ADJ,NOM	m	s	par:pas;	a|b_a|t_y	a|b_a|tt_u	7.43	11.48
abattu	abaty	abattu	ADJ	VER,ADJ,NOM	m	s		a|b_a|t_y	a|b_a|tt_u	3.78	1.82
abattu	abaty	abattu	NOM	VER,ADJ,NOM	m	s		a|b_a|t_y	a|b_a|tt_u	1.22	0.18
abattue	abaty	abattre	VER	VER,ADJ	f	s	par:pas;	a|b_a|t_y_#	a|b_a|tt_u_e	2.43	2.19
abattue	abaty	abattu	ADJ	VER,ADJ	f	s		a|b_a|t_y_#	a|b_a|tt_u_e	1.55	0.18
abattues	abaty	abattre	VER	VER,ADJ	f	p	par:pas;	a|b_a|t_y_#	a|b_a|tt_u_es	0.27	0.44
abattues	abaty	abattu	ADJ	VER,ADJ	f	p		a|b_a|t_y_#	a|b_a|tt_u_es	0.68	0.04
abattures	abatyR	abatture	NOM	NOM	f	p		a|b_a|t_y_R_#	a|b_a|tt_u_r_es	0.14	0.0
abattus	abaty	abattre	VER	VER,ADJ,NOM	m	p	par:pas;	a|b_a|t_y	a|b_a|tt_us	2.43	2.42
abattus	abaty	abattu	ADJ	VER,ADJ,NOM	m	p		a|b_a|t_y	a|b_a|tt_us	1.08	0.47
abattus	abaty	abattu	NOM	VER,ADJ,NOM	m	p		a|b_a|t_y	a|b_a|tt_us	0.2	0.35
abbatial	abasjal	abbatial	ADJ	ADJ	m	s		a|b_a|s_j_a_l	a|bb_a|t_i_a_l	0.27	0.0
abbatiale	abasjal	abbatial	ADJ	ADJ,NOM	f	s		a|b_a|s_j_a_l_#	a|bb_a|t_i_a_l_e	0.27	0.0
abbatiale	abasjal	abbatiale	NOM	ADJ,NOM	f	s		a|b_a|s_j_a_l_#	a|bb_a|t_i_a_l_e	0.14	0.0
abbatiales	abasjal	abbatial	ADJ	ADJ	f	p		a|b_a|s_j_a_l_#	a|bb_a|t_i_a_l_es	0.07	0.0
abbaye	abei	abbaye	NOM	NOM	f	s		a|b_e|i_#	a|bb_a|y_e	3.31	3.66
abbayes	abei	abbaye	NOM	NOM	f	p		a|b_e|i_#	a|bb_a|y_es	0.47	0.28
abbesse	abEs	abbé	NOM	NOM	f	s		a|b_E_s_#	a|bb_e_ss_e	0.41	0.26
abbesses	abEs	abbé	NOM	NOM	f	p		a|b_E_s_#	a|bb_e_ss_es	0.61	0.0
abbé	abe	abbé	NOM	NOM	m	s		a|b_e	a|bb_é	31.28	4.19
abbés	abe	abbé	NOM	NOM	m	p		a|b_e_#	a|bb_é_s	1.22	0.02
abcès	apsE	abcès	NOM	NOM	m			a_p|s_E_#	a_b|c_è_s	3.31	1.79
abdication	abdikasj§	abdication	NOM	NOM	f	s		a_b|d_i|k_a|s_j_§	a_b|d_i|c_a|t_i_on	1.82	0.05
abdications	abdikasj§	abdication	NOM	NOM	f	p		a_b|d_i|k_a|s_j_§_#	a_b|d_i|c_a|t_i_on_s	0.14	0.0
abdiqua	abdika	abdiquer	VER	VER			ind:pas:3s;	a_b|d_i|k_a	a_b|d_i|qu_a	0.2	0.0
abdiquai	abdike	abdiquer	VER	VER			ind:pas:1s;	a_b|d_i|k_e	a_b|d_i|qu_ai	0.07	0.0
abdiquaient	abdikE	abdiquer	VER	VER			ind:imp:3p;	a_b|d_i|k_E	a_b|d_i|qu_aient	0.07	0.0
abdiquais	abdikE	abdiquer	VER	VER			ind:imp:1s;	a_b|d_i|k_E	a_b|d_i|qu_ais	0.14	0.0
abdiquait	abdikE	abdiquer	VER	VER			ind:imp:3s;	a_b|d_i|k_E	a_b|d_i|qu_ait	0.2	0.0
abdiquant	abdik@	abdiquer	VER	VER			par:pre;	a_b|d_i|k_@	a_b|d_i|qu_ant	0.07	0.0
abdique	abdik	abdiquer	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;	a_b|d_i_k_#	a_b|d_i_qu_e	0.41	0.23
abdiquer	abdike	abdiquer	VER	VER			inf;	a_b|d_i|k_e	a_b|d_i|qu_er	0.41	0.08
abdiquera	abdik°Ra	abdiquer	VER	VER			ind:fut:3s;	a_b|d_i|k_°|R_a	a_b|d_i|qu_e|r_a	0.07	0.01
abdiquerais	abdik°RE	abdiquer	VER	VER			cnd:pre:1s;	a_b|d_i|k_°|R_E	a_b|d_i|qu_e|r_ais	0.07	0.0
abdiquerait	abdik°RE	abdiquer	VER	VER			cnd:pre:3s;	a_b|d_i|k_°|R_E	a_b|d_i|qu_e|r_ait	0.07	0.0
abdiquez	abdike	abdiquer	VER	VER			imp:pre:2p;ind:pre:2p;	a_b|d_i|k_e	a_b|d_i|qu_ez	0.0	0.03
abdiqué	abdike	abdiquer	VER	VER	m	s	par:pas;	a_b|d_i|k_e	a_b|d_i|qu_é	0.95	0.11
abdiquée	abdike	abdiquer	VER	VER	f	s	par:pas;	a_b|d_i|k_e_#	a_b|d_i|qu_é_e	0.07	0.0
abdomen	abdomEn	abdomen	NOM	NOM	m	s		a_b|d_o|m_E_n	a_b|d_o|m_e_n	1.55	2.76
abdominal	abdominal	abdominal	ADJ	ADJ	m	s		a_b|d_o|m_i|n_a_l	a_b|d_o|m_i|n_a_l	0.0	0.5
abdominale	abdominal	abdominal	ADJ	ADJ	f	s		a_b|d_o|m_i|n_a_l_#	a_b|d_o|m_i|n_a_l_e	0.61	1.3
abdominales	abdominal	abdominal	ADJ	ADJ	f	p		a_b|d_o|m_i|n_a_l_#	a_b|d_o|m_i|n_a_l_es	0.0	0.7
abdominaux	abdomino	abdominal	NOM	ADJ,NOM	m	p		a_b|d_o|m_i|n_o_#	a_b|d_o|m_i|n_au_x	0.68	0.09
abdominaux	abdomino	abdominal	ADJ	ADJ,NOM	m	p		a_b|d_o|m_i|n_o_#	a_b|d_o|m_i|n_au_x	0.14	0.06
abdos	abdo	abdos	NOM	NOM	m	p		a_b|d_o_#	a_b|d_o_s	0.0	0.86
abducteur	abdykt9R	abducteur	ADJ	ADJ	m	s		a_b|d_y_k|t_9_R	a_b|d_u_c|t_eu_r	0.0	0.01
abduction	abdyksj§	abduction	NOM	NOM	f	s		a_b|d_y_k|s_j_§	a_b|d_u_c|t_i_on	0.0	0.05
abeille	abEj	abeille	NOM	NOM	f	s		a|b_E_j_#	a|b_ei_ll_e	3.18	3.53
abeilles	abEj	abeille	NOM	NOM	f	p		a|b_E_j_#	a|b_ei_ll_es	6.69	5.59
aber	abe	aber	NOM	NOM	m	s		a|b_e	a|b_er	0.0	0.25
aberrant	abER@	aberrant	ADJ	ADJ,VER	m	s		a|b_E|R_@	a|b_e|rr_ant	1.08	0.58
aberrant	abER@	aberrer	VER	ADJ,VER			par:pre;	a|b_E|R_@	a|b_e|rr_ant	0.2	0.0
aberrante	abER@t	aberrant	ADJ	ADJ	f	s		a|b_E|R_@_t_#	a|b_e|rr_an_t_e	0.61	0.04
aberrantes	abER@t	aberrant	ADJ	ADJ	f	p		a|b_E|R_@_t_#	a|b_e|rr_an_t_es	0.34	0.2
aberrants	abER@	aberrant	ADJ	ADJ	m	p		a|b_E|R_@_#	a|b_e|rr_an_ts	0.47	0.02
aberration	abERasj§	aberration	NOM	NOM	f	s		a|b_E|R_a|s_j_§	a|b_e|rr_a|t_i_on	3.31	0.89
aberrations	abERasj§	aberration	NOM	NOM	f	p		a|b_E|R_a|s_j_§_#	a|b_e|rr_a|t_i_on_s	1.15	0.27
abhorrais	abORE	abhorrer	VER	VER			ind:imp:1s;	a|b_#_O|R_E	a|b_h_o|rr_ais	0.07	0.01
abhorrait	abORE	abhorrer	VER	VER			ind:imp:3s;	a|b_#_O|R_E	a|b_h_o|rr_ait	0.68	0.01
abhorrant	abOR@	abhorrer	VER	VER			par:pre;	a|b_#_O|R_@	a|b_h_o|rr_ant	0.07	0.01
abhorre	abOR	abhorrer	VER	VER			ind:pre:1s;ind:pre:3s;	a|b_#_O_R_#	a|b_h_o_rr_e	0.0	0.2
abhorrer	abORe	abhorrer	VER	VER			inf;	a|b_#_O|R_e	a|b_h_o|rr_er	0.14	0.0
abhorrez	abORe	abhorrer	VER	VER			ind:pre:2p;	a|b_#_O|R_e	a|b_h_o|rr_ez	0.0	0.03
abhorré	abORe	abhorrer	VER	VER,ADJ	m	s	par:pas;	a|b_#_O|R_e	a|b_h_o|rr_é	0.27	0.01
abhorré	abORe	abhorré	ADJ	VER,ADJ	m	s		a|b_#_O|R_e	a|b_h_o|rr_é	0.2	0.0
abhorrée	abORe	abhorré	ADJ	VER,ADJ	f	s		a|b_#_O|R_e_#	a|b_h_o|rr_é_e	0.07	0.01
abhorrée	abORe	abhorrer	VER	VER,ADJ	f	s	par:pas;	a|b_#_O|R_e_#	a|b_h_o|rr_é_e	0.07	0.0
abhorrés	abORe	abhorrer	VER	VER	m	p	par:pas;	a|b_#_O|R_e_#	a|b_h_o|rr_é_s	0.07	0.0
abject	abZEkt	abject	ADJ	ADJ	m	s		a_b|Z_E_k_t	a_b|j_e_c_t	1.69	1.4
abjecte	abZEkt	abject	ADJ	ADJ	f	s		a_b|Z_E_k_t_#	a_b|j_e_c_t_e	1.49	0.69
abjectement	abZEkt°m@	abjectement	ADV	ADV				a_b|Z_E_k|t_°|m_@	a_b|j_e_c|t_e|m_ent	0.07	0.1
abjectes	abZEkt	abject	ADJ	ADJ	f	p		a_b|Z_E_k_t_#	a_b|j_e_c_t_es	0.2	0.05
abjection	abZEksj§	abjection	NOM	NOM	f	s		a_b|Z_E_k|s_j_§	a_b|j_e_c|t_i_on	2.16	0.37
abjections	abZEksj§	abjection	NOM	NOM	f	p		a_b|Z_E_k|s_j_§_#	a_b|j_e_c|t_i_on_s	0.14	0.14
abjects	abZEkt	abject	ADJ	ADJ	m	p		a_b|Z_E_k_t_#	a_b|j_e_c_t_s	0.54	0.05
abjurant	abZyR@	abjurer	VER	VER			par:pre;	a_b|Z_y|R_@	a_b|j_u|r_ant	0.0	0.14
abjuration	abZyRasj§	abjuration	NOM	NOM	f	s		a_b|Z_y|R_a|s_j_§	a_b|j_u|r_a|t_i_on	0.41	0.0
abjurations	abZyRasj§	abjuration	NOM	NOM	f	p		a_b|Z_y|R_a|s_j_§_#	a_b|j_u|r_a|t_i_on_s	0.07	0.0
